0.000 0.000 0.000
0.100 0.075 0.241
0.200 0.075 0.241
0.300 0.075 0.241
0.400 0.074 0.239
0.500 0.074 0.232
0.600 0.074 0.227
0.700 0.074 0.220
0.800 0.074 0.216
0.900 0.073 0.211
1.000 0.067 0.000
1.100 0.067 0.000
1.200 0.067 0.000
1.300 0.067 0.000
1.400 0.067 0.000
1.500 0.067 0.000
1.600 0.067 0.000
1.700 0.067 0.000
1.800 0.067 0.000
1.900 0.000 0.000
2.000 0.067 0.000
2.100 0.067 0.000
2.200 0.067 0.000
2.300 0.067 0.000
2.400 0.067 0.000
2.500 0.067 0.000
2.600 0.067 0.000
2.700 0.067 0.000
2.800 0.067 0.000
2.900 0.041 0.000
3.000 0.067 0.000
3.100 0.067 0.000
3.200 0.067 0.000
3.300 0.067 0.000
3.400 0.067 0.000
3.500 0.067 0.000
3.600 0.067 0.000
3.700 0.067 0.000
3.800 0.067 0.000
3.900 0.067 0.000
4.000 0.067 0.000
4.100 0.067 0.000
4.200 0.067 0.000
4.300 0.067 0.000
4.400 0.067 0.000
4.500 0.067 0.000
4.600 0.067 0.000
4.700 0.067 0.000
4.800 0.067 0.000
4.900 0.067 0.000
5.000 0.067 0.000
5.100 0.067 0.000
5.200 0.067 0.000
5.300 0.067 0.000
5.400 0.067 0.000
5.500 0.067 0.000
5.600 0.067 0.000
5.700 0.067 0.000
5.800 0.067 0.000
5.900 0.067 0.000
6.000 0.067 0.000
6.100 0.067 0.000
6.200 0.067 0.000
6.300 0.067 0.000
6.400 0.067 0.000
6.500 0.067 0.000
6.600 0.067 0.000
6.700 0.067 0.000
6.800 0.067 0.000
6.900 0.067 0.000
7.000 0.067 0.000
7.100 0.067 0.000
7.200 0.067 0.000
7.300 0.067 0.000
7.400 0.086 0.408
7.500 0.086 0.408
7.600 0.086 0.408
7.700 0.086 0.408
7.800 0.086 0.408
7.900 0.086 0.408
8.000 0.086 0.408
8.100 0.086 0.408
8.200 0.086 0.408
8.300 0.086 0.408
8.400 0.086 0.408
8.500 0.086 0.408
8.600 0.086 0.408
8.700 0.086 0.408
8.800 0.086 0.408
8.900 0.013 0.061
9.000 0.086 0.408
9.100 0.086 0.408
9.201 0.086 0.408
9.301 0.086 0.408
9.401 0.086 0.408
9.501 0.086 0.408
9.601 0.086 0.408
9.701 0.086 0.408
9.801 0.063 0.301
9.901 0.086 0.408
10.001 0.086 0.408
10.101 0.086 0.408
10.201 0.086 0.408
10.301 0.086 0.408
10.401 0.086 0.408
10.501 0.086 0.408
10.601 0.086 0.408
10.701 0.086 0.408
10.801 0.086 0.408
10.901 0.086 0.408
11.001 0.086 0.408
11.101 0.086 0.408
11.201 0.086 0.408
11.301 0.086 0.408
11.401 0.086 0.408
11.501 0.086 0.408
11.601 0.084 0.398
11.701 0.082 0.378
11.801 0.080 0.351
11.901 0.078 0.318
12.001 0.076 0.286
12.101 0.074 0.242
12.201 0.073 0.208
12.301 0.072 0.190
12.401 0.071 0.148
12.501 0.070 0.134
12.601 0.070 0.122
12.701 0.069 0.083
12.801 0.068 0.058
12.901 0.068 0.040
13.001 0.067 0.025
13.101 0.067 0.014
13.201 0.067 0.007
13.301 0.067 0.018
13.401 0.067 0.015
13.501 0.067 0.007
13.601 0.067 0.005
13.701 0.067 0.009
13.801 0.067 0.011
13.901 0.067 0.014
14.001 0.067 -0.001
14.101 0.067 -0.004
14.201 0.067 0.021
14.301 0.067 0.013
14.401 0.086 0.408
14.501 0.086 0.408
14.601 0.086 0.408
14.701 0.086 0.408
14.801 0.086 0.408
14.901 0.086 0.408
15.001 0.086 0.408
15.101 0.086 0.408
15.201 0.085 0.405
15.301 0.084 0.392
15.401 0.082 0.375
15.501 0.080 0.354
15.601 0.080 0.342
15.701 0.078 0.323
15.801 0.078 0.307
15.901 0.077 0.295
16.001 0.077 0.289
16.101 0.076 0.281
16.201 0.076 0.270
16.301 0.075 0.261
16.401 0.075 0.252
16.501 0.075 0.249
16.601 0.075 0.242
16.701 0.074 0.235
16.801 0.074 0.230
16.901 0.074 0.224
17.001 0.074 0.218
17.101 0.073 0.214
17.201 0.073 0.211
17.301 0.069 0.063
17.401 0.067 0.000
17.501 0.067 0.000
17.601 0.067 0.000
17.701 0.067 0.000
17.801 0.067 0.000
17.901 0.067 0.000
18.001 0.067 0.000
18.101 0.074 0.217
18.201 0.074 0.217
18.301 0.074 0.220
18.401 0.074 0.223
18.501 0.074 0.225
18.601 0.074 0.229
18.701 0.074 0.232
18.801 0.074 0.235
18.901 0.074 0.238
19.001 0.075 0.241
19.101 0.075 0.244
19.201 0.075 0.249
19.301 0.075 0.252
